#Date,Time,[CPU]User%,[CPU]Nice%,[CPU]Sys%,[CPU]Wait%,[CPU]Irq%,[CPU]Soft%,[CPU]Steal%,[CPU]Idle%,[CPU]Totl%,[CPU]Guest%,[CPU]GuestN%,[CPU]Intrpt/sec,[CPU]Ctx/sec,[CPU]Proc/sec,[CPU]ProcQue,[CPU]ProcRun,[CPU]L-Avg1,[CPU]L-Avg5,[CPU]L-Avg15,[CPU]RunTot,[CPU]BlkTot,[MEM]Tot,[MEM]Used,[MEM]Free,[MEM]Shared,[MEM]Buf,[MEM]Cached,[MEM]Slab,[MEM]Map,[MEM]Anon,[MEM]AnonH,[MEM]Commit,[MEM]Locked,[MEM]SwapTot,[MEM]SwapUsed,[MEM]SwapFree,[MEM]SwapIn,[MEM]SwapOut,[MEM]Dirty,[MEM]Clean,[MEM]Laundry,[MEM]Inactive,[MEM]PageIn,[MEM]PageOut,[MEM]PageFaults,[MEM]PageMajFaults,[MEM]HugeTotal,[MEM]HugeFree,[MEM]HugeRsvd,[MEM]SUnreclaim
20220108,15:38:28,2,0,2,0,0,0,0,96,4,0,0,490,706,4,515,2,0.03,0.11,0.13,0,0,8088300,7257508,830792,0,282420,5113120,174676,369308,1646980,0,6352960,16,2097148,4608,2092540,0,0,2628,0,0,2987268,0,0,1143,0,0,0,0,25368
20220108,15:38:29,1,0,1,0,0,0,0,99,1,0,0,376,577,4,515,0,0.03,0.11,0.13,0,0,8088300,7257516,830784,0,282420,5113120,174676,369308,1647048,0,6352960,16,2097148,4608,2092540,0,0,2668,0,0,2987268,0,92,166,0,0,0,0,25368
20220108,15:38:30,2,0,2,0,0,0,0,97,3,0,0,434,618,7,517,1,0.02,0.11,0.13,1,0,8088300,7258012,830288,0,282420,5113120,174676,369824,1647560,0,6354444,16,2097148,4608,2092540,0,0,2668,0,0,2987268,0,0,1223,0,0,0,0,25368
20220108,15:38:31,3,0,4,0,0,0,0,92,8,0,0,840,1002,10,521,0,0.02,0.11,0.13,0,0,8088300,7259812,828488,0,282420,5113124,174684,370228,1651108,0,6358684,16,2097148,4608,2092540,0,0,2672,0,0,2987268,0,0,2798,0,0,0,0,25368
20220108,15:38:32,8,0,6,1,0,0,0,85,14,0,0,1515,1923,58,523,0,0.02,0.11,0.13,0,1,8088300,7265232,823068,0,282420,5113124,174684,371468,1654556,0,6361956,16,2097148,4608,2092540,0,0,1984,0,0,2987268,0,764,10800,0,0,0,0,25368
20220108,15:38:33,6,0,7,9,0,0,0,78,13,0,0,2776,3055,55,523,1,0.02,0.11,0.13,1,0,8088300,7265460,822840,0,282420,5113136,174772,371192,1654252,0,6362088,16,2097148,4608,2092540,0,0,716,0,0,2986752,0,1200,9545,0,0,0,0,25392
20220108,15:38:34,0,0,1,0,0,1,0,99,1,0,0,831,971,4,523,0,0.02,0.11,0.13,0,0,8088300,7265460,822840,0,282420,5113140,174772,371192,1654264,0,6362088,16,2097148,4608,2092540,0,0,720,0,0,2986668,0,0,121,0,0,0,0,25392
20220108,15:38:35,0,0,1,0,0,0,0,99,1,0,0,784,885,4,523,0,0.02,0.10,0.13,0,0,8088300,7265468,822832,0,282420,5113192,174772,371192,1654300,0,6362088,16,2097148,4608,2092540,0,0,772,0,0,2986704,0,0,124,0,0,0,0,25392
20220108,15:38:36,6,0,5,2,0,0,0,87,10,0,0,1424,1566,55,523,0,0.02,0.10,0.13,0,0,8088300,7268304,819996,0,282420,5113228,174788,371328,1657120,0,6364848,16,2097148,4608,2092540,0,0,884,0,0,2986748,0,108,10235,0,0,0,0,25400
20220108,15:38:37,1,0,2,0,0,0,0,97,3,0,0,675,819,5,523,0,0.02,0.10,0.13,0,0,8088300,7268652,819648,0,282420,5113244,174808,371268,1656972,0,6364848,16,2097148,4608,2092540,0,0,900,0,0,2986756,0,160,820,0,0,0,0,25404
