#Date,Time,[CPU]User%,[CPU]Nice%,[CPU]Sys%,[CPU]Wait%,[CPU]Irq%,[CPU]Soft%,[CPU]Steal%,[CPU]Idle%,[CPU]Totl%,[CPU]Guest%,[CPU]GuestN%,[CPU]Intrpt/sec,[CPU]Ctx/sec,[CPU]Proc/sec,[CPU]ProcQue,[CPU]ProcRun,[CPU]L-Avg1,[CPU]L-Avg5,[CPU]L-Avg15,[CPU]RunTot,[CPU]BlkTot,[MEM]Tot,[MEM]Used,[MEM]Free,[MEM]Shared,[MEM]Buf,[MEM]Cached,[MEM]Slab,[MEM]Map,[MEM]Anon,[MEM]AnonH,[MEM]Commit,[MEM]Locked,[MEM]SwapTot,[MEM]SwapUsed,[MEM]SwapFree,[MEM]SwapIn,[MEM]SwapOut,[MEM]Dirty,[MEM]Clean,[MEM]Laundry,[MEM]Inactive,[MEM]PageIn,[MEM]PageOut,[MEM]PageFaults,[MEM]PageMajFaults,[MEM]HugeTotal,[MEM]HugeFree,[MEM]HugeRsvd,[MEM]SUnreclaim,[NET]RxPktTot,[NET]TxPktTot,[NET]RxKBTot,[NET]TxKBTot,[NET]RxCmpTot,[NET]RxMltTot,[NET]TxCmpTot,[NET]RxErrsTot,[NET]TxErrsTot,[DSK]ReadTot,[DSK]WriteTot,[DSK]OpsTot,[DSK]ReadKBTot,[DSK]WriteKBTot,[DSK]KbTot,[DSK]ReadMrgTot,[DSK]WriteMrgTot,[DSK]MrgTot
20220207,18:31:50,8,0,1,1,0,0,0,89,10,0,0,2063,5450,67,671,4,0.48,0.11,0.07,3,0,16122212,8834464,7287748,0,354704,5405516,390576,404236,2583712,0,6327416,0,2097148,0,2097148,0,0,20132,0,0,2288696,0,4088,30996,0,0,0,0,101888,5,5,2,1,0,0,0,0,0,0,246,246,0,4088,4088,0,379,379
20220207,18:31:51,27,0,6,2,0,1,0,64,34,0,0,7716,29504,108,767,9,0.48,0.11,0.07,2,0,16122212,9003436,7118776,0,355596,5420056,391728,431140,2731664,0,6703648,0,2097148,0,2097148,0,0,27924,0,0,2295368,0,15960,68176,0,0,0,0,102484,6536,6582,8248,8172,0,0,0,0,0,0,411,411,0,15960,15960,0,636,636
20220207,18:31:52,14,0,3,0,0,1,0,82,17,0,0,9578,10345,19,784,0,0.48,0.11,0.07,3,0,16122212,9072944,7049268,0,355904,5422992,392500,433020,2795752,0,6797504,0,2097148,0,2097148,0,0,28592,0,0,2297712,0,3484,47178,0,0,0,0,102916,1925,1211,2531,514,0,0,0,0,0,0,118,118,0,3484,3484,0,248,248
20220207,18:31:53,1,0,1,0,0,0,0,98,2,0,0,606,1496,0,784,0,0.48,0.11,0.07,1,0,16122212,9072776,7049436,0,355936,5422928,392500,433020,2794796,0,6797512,0,2097148,0,2097148,0,0,28544,0,0,2297664,0,228,739,0,0,0,0,102916,2,1,1,0,0,0,0,0,0,0,23,23,0,228,228,0,22,22
20220207,18:31:54,1,0,0,0,0,0,0,99,1,0,0,386,1088,0,784,0,0.44,0.11,0.07,1,0,16122212,9072944,7049268,0,355936,5422936,392500,433136,2794848,0,6799556,0,2097148,0,2097148,0,0,28536,0,0,2297616,0,0,616,0,0,0,0,102916,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220207,18:31:55,21,0,4,0,0,0,0,75,25,0,0,2238,8147,29,795,7,0.44,0.11,0.07,7,0,16122212,9138280,6983932,0,356016,5444608,393256,455240,2839640,0,6840840,0,2097148,0,2097148,0,0,29136,0,0,2283740,0,636,65721,0,0,0,0,103656,35,33,10,9,0,0,0,0,0,0,29,29,0,636,636,0,63,63
20220207,18:31:56,23,0,5,0,0,0,0,71,29,0,0,1471,4529,38,793,0,0.44,0.11,0.07,1,0,16122212,9158120,6964092,0,356040,5459344,393188,470440,2843140,0,6837376,0,2097148,0,2097148,0,0,29168,0,0,2283728,0,120,50384,0,0,0,0,103584,5,4,2,2,0,0,0,0,0,0,10,10,0,120,120,0,14,14
20220207,18:31:57,1,0,0,0,0,0,0,99,1,0,0,376,1064,0,792,0,0.44,0.11,0.07,1,0,16122212,9158120,6964092,0,356040,5459344,393188,470440,2843148,0,6837384,0,2097148,0,2097148,0,0,29168,0,0,2283728,0,0,47,0,0,0,0,103584,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220207,18:31:58,10,0,1,0,0,0,0,89,11,0,0,1902,6131,1,792,4,0.44,0.11,0.07,4,0,16122212,9165544,6956668,0,356056,5459436,393048,472484,2847928,0,6853628,0,2097148,0,2097148,0,0,29652,0,0,2276472,0,188,41933,0,0,0,0,103444,34,33,10,10,0,0,0,0,0,0,7,7,0,188,188,0,10,10
20220207,18:31:59,12,0,2,0,0,0,0,87,13,0,0,3307,4303,0,792,1,0.40,0.11,0.07,0,0,16122212,9173272,6948940,0,356064,5473968,393052,489408,2840736,0,6878936,0,2097148,0,2097148,0,0,29672,0,0,2276504,0,96,28411,0,0,0,0,103444,2,2,1,0,0,0,0,0,0,0,3,3,0,96,96,0,14,14
